iter	Passed	Remaining
0	14	1452660
1	29	1451477
2	43	1434956
3	57	1427411
4	71	1430962
5	85	1426090
6	99	1415406
7	113	1415466
8	127	1411312
9	140	1409273
10	155	1411140
11	169	1411921
12	183	1413293
13	197	1407527
14	211	1408386
15	225	1410495
16	239	1410503
17	254	1413054
18	268	1411984
19	282	1412852
20	296	1409357
21	310	1410792
22	324	1410800
23	369	1541034
24	384	1537878
25	399	1535073
26	413	1532290
27	428	1529709
28	442	1526168
29	456	1521253
30	470	1517210
31	484	1514732
32	498	1511482
33	512	1506139
34	526	1504867
35	540	1500966
36	553	1496694
37	568	1495252
38	582	1492460
39	595	1487996
40	609	1486158
41	623	1484817
42	637	1482894
43	652	1482045
44	666	1480002
45	680	1478755
46	694	1476155
47	708	1474577
48	721	1472171
49	735	1470053
50	749	1468634
51	762	1466054
52	776	1464105
53	789	1461694
54	803	1460899
55	818	1460218
56	831	1458672
57	845	1456127
58	859	1455575
59	872	1453993
60	886	1452803
61	901	1452381
62	914	1451199
63	928	1449321
64	942	1448873
65	956	1447530
66	969	1446385
67	984	1446218
68	997	1445199
69	1010	1443041
70	1024	1442325
71	1038	1441806
72	1052	1440987
73	1066	1440780
74	1080	1440155
75	1094	1438549
76	1108	1438330
77	1122	1437410
78	1135	1436449
79	1149	1436194
80	1163	1435682
81	1177	1434214
82	1191	1434540
83	1205	1434241
84	1219	1433494
85	1233	1432903
86	1247	1432258
87	1261	1432401
88	1274	1431294
89	1289	1431339
90	1303	1430917
91	1317	1430488
92	1331	1430109
93	1344	1429209
94	1357	1427816
95	1372	1427912
96	1386	1427692
97	1399	1427055
98	1414	1427364
99	1429	1427979
100	1445	1429778
101	1460	1430099
102	1473	1429026
103	1487	1428802
104	1501	1428199
105	1515	1427739
106	1528	1427303
107	1542	1426897
108	1555	1425763
109	1569	1425454
110	1583	1424954
111	1597	1424736
112	1611	1424421
113	1626	1425015
114	1638	1423455
115	1652	1423270
116	1667	1423222
117	1680	1422631
118	1694	1421891
119	1707	1421035
120	1722	1421504
121	1736	1422005
122	1751	1422099
123	1766	1422707
124	1780	1422840
125	1795	1423449
126	1810	1423986
127	1825	1424559
128	1839	1424349
129	1854	1424812
130	1869	1425266
131	1884	1425727
132	1898	1425678
133	1913	1425908
134	1927	1425861
135	1942	1426382
136	1956	1426406
137	1971	1426562
138	1986	1427232
139	2001	1427384
140	2015	1427753
141	2030	1427934
142	2045	1428527
143	2060	1428974
144	2075	1429275
145	2089	1429086
146	2103	1429171
147	2119	1429688
148	2134	1430087
149	2148	1430240
150	2163	1430660
151	2178	1431159
152	2193	1431657
153	2208	1431939
154	2223	1432464
155	2237	1432164
156	2253	1432811
157	2268	1433290
158	2283	1433599
159	2298	1434077
160	2312	1434043
161	2327	1434432
162	2342	1434795
163	2357	1435092
164	2372	1435495
165	2386	1435206
166	2401	1435668
167	2416	1435787
168	2430	1435779
169	2445	1435803
170	2460	1436444
171	2475	1436646
172	2490	1437172
173	2505	1437574
174	2519	1437362
175	2534	1437762
176	2550	1438210
177	2565	1438510
178	2580	1438939
179	2594	1438995
180	2609	1439038
181	2625	1439742
182	2640	1440251
183	2654	1440261
184	2669	1440076
185	2684	1440522
186	2699	1441079
187	2714	1441212
188	2729	1441274
189	2743	1441433
190	2759	1441859
191	2774	1442452
192	2789	1442300
193	2804	1442648
194	2818	1442490
195	2833	1442968
196	2849	1443454
197	2863	1443405
198	2879	1443947
199	2894	1444267
200	2908	1444316
201	2924	1444757
202	2939	1444864
203	2953	1444955
204	2968	1444952
205	2983	1445335
206	2998	1445744
207	3013	1445872
208	3028	1446160
209	3042	1445989
210	3058	1446289
211	3073	1446678
212	3088	1446763
213	3102	1446823
214	3117	1446832
215	3132	1447212
216	3148	1447716
217	3163	1447919
218	3177	1447837
219	3191	1447551
220	3207	1447983
221	3222	1448366
222	3237	1448485
223	3252	1448704
224	3266	1448697
225	3282	1449056
226	3297	1449550
227	3312	1449752
228	3327	1449820
229	3342	1449787
230	3356	1449886
231	3372	1450230
232	3387	1450431
233	3402	1450775
234	3417	1450908
235	3432	1450988
236	3447	1451357
237	3463	1451768
238	3478	1451886
239	3493	1452188
240	3508	1452437
241	3523	1452489
242	3539	1452935
243	3554	1453279
244	3569	1453351
245	3584	1453439
246	3598	1453468
247	3614	1453804
248	3629	1454199
249	3645	1454668
250	3660	1454850
251	3675	1455042
252	3690	1455178
253	3705	1455213
254	3721	1455617
255	3737	1456038
256	3751	1456132
257	3766	1456119
258	3781	1456339
259	3796	1456326
260	3811	1456624
261	3826	1456785
262	3842	1457068
263	3857	1457304
264	3871	1457147
265	3887	1457533
266	3902	1457865
267	3917	1457970
268	3932	1458066
269	3948	1458280
270	3962	1458340
271	3978	1458663
272	3993	1458967
273	4009	1459268
274	4024	1459364
275	4039	1459506
276	4054	1459639
277	4069	1459894
278	4085	1460185
279	4100	1460194
280	4114	1460247
281	4130	1460439
282	4145	1460720
283	4160	1460972
284	4176	1461345
285	4191	1461420
286	4206	1461483
287	4221	1461526
